"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767430834458187E9,"2026-01-03 11:00:34.458 UTC+02:00"
"PAUSE",3.566418799583334E2,1.767431191138254E9,"2026-01-03 11:06:31.138 UTC+02:00"
