"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.853786421E1,6.046341891E1,2.693240062E1,8.557794565E0,1.184229160E0,2.233380798E2,7.868541159E0,6.264819179E0
3.953819847E1,6.046340587E1,2.693239005E1,9.340632945E0,1.261699950E0,2.345640055E2,8.087431695E0,6.479307091E0
4.053851366E1,6.046339282E1,2.693238856E1,1.000557555E1,1.124856446E0,2.352388505E2,8.415102024E0,6.771003554E0
4.153880799E1,6.046338117E1,2.693237429E1,1.060363256E1,1.448199025E0,2.312915343E2,8.340083683E0,6.955280741E0
4.253908527E1,6.046336834E1,2.693236245E1,1.055265604E1,1.321153539E0,2.306575795E2,8.389589123E0,6.844110069E0
4.353934312E1,6.046335191E1,2.693235631E1,1.101812525E1,1.263493804E0,2.287997324E2,8.322000722E0,6.836704573E0
4.453958786E1,6.046333081E1,2.693234777E1,1.128183108E1,1.487956014E0,2.292674325E2,8.159426454E0,6.930536082E0
4.553981555E1,6.046335482E1,2.693228899E1,1.069150566E1,1.413447864E0,2.317139465E2,8.137599300E0,9.067733275E0
4.654003036E1,6.046334365E1,2.693227629E1,1.093661688E1,1.322489192E0,2.348462298E2,8.111393401E0,8.731876105E0
4.754023015E1,6.046332904E1,2.693226493E1,1.131732358E1,1.469615021E0,2.301943906E2,8.083280707E0,8.900022228E0
4.854042137E1,6.046331252E1,2.693225816E1,1.126548543E1,1.504838248E0,2.256166232E2,8.045977190E0,9.428425350E0
4.954059637E1,6.046329814E1,2.693224447E1,1.161557686E1,1.511496771E0,2.256484666E2,8.038540626E0,9.636743850E0
5.054076385E1,6.046328963E1,2.693222482E1,1.189984958E1,1.461381286E0,2.372600259E2,8.049813786E0,9.764754868E0
5.154091847E1,6.046327815E1,2.693220904E1,1.253757617E1,1.523890329E0,2.365094396E2,8.043458575E0,9.929468256E0
5.254106593E1,6.046326622E1,2.693219234E1,1.277028317E1,1.526386798E0,2.334567722E2,8.037546380E0,1.007269772E1
5.354120219E1,6.046325304E1,2.693217884E1,1.284125940E1,1.531191018E0,2.285938861E2,8.096963155E0,1.031615182E1
5.454133260E1,6.046324012E1,2.693216402E1,1.262449143E1,1.490087828E0,2.293752570E2,8.110222199E0,1.044735517E1
5.554145384E1,6.046322856E1,2.693214965E1,1.282210784E1,1.465176627E0,2.274074481E2,8.106467658E0,1.041894788E1
5.654156721E1,6.046322042E1,2.693213194E1,1.253319464E1,1.314292738E0,2.328192996E2,8.232021722E0,1.039241917E1
5.754167438E1,6.046321202E1,2.693212232E1,1.217281012E1,1.069708977E0,2.378905704E2,8.298763918E0,1.031401233E1
5.854177582E1,6.046319653E1,2.693210625E1,1.241356279E1,1.286701932E0,2.296221000E2,8.291690818E0,1.023840698E1
5.954186928E1,6.046318568E1,2.693208753E1,1.288842611E1,1.381653984E0,2.277155249E2,8.262971016E0,1.013234699E1
6.054195881E1,6.046317514E1,2.693206350E1,1.293858623E1,1.518674706E0,2.317479079E2,8.291311584E0,1.027742440E1
6.154204178E1,6.046316462E1,2.693204295E1,1.293169023E1,1.563423605E0,2.353142706E2,8.445587850E0,1.146124146E1
6.254211998E1,6.046315496E1,2.693202165E1,1.255363306E1,1.558453596E0,2.387852475E2,8.477190360E0,1.173251641E1
6.354219306E1,6.046314418E1,2.693200147E1,1.196362096E1,1.523579036E0,2.394190104E2,8.594150550E0,1.203773447E1
6.454226243E1,6.046313259E1,2.693198606E1,1.131070190E1,1.480827983E0,2.329974360E2,8.585708799E0,1.194031795E1
6.554232764E1,6.046312445E1,2.693197135E1,1.045056988E1,1.410749536E0,2.323869184E2,8.700633835E0,1.206181429E1
6.654238904E1,6.046311351E1,2.693195209E1,9.921112556E0,1.421258064E0,2.287523333E2,8.727756031E0,1.178863373E1
6.754244614E1,6.046310818E1,2.693192364E1,1.007137931E1,1.479203044E0,2.348267668E2,8.889452567E0,1.223580308E1
6.854250014E1,6.046310018E1,2.693189425E1,1.050235402E1,1.552120942E0,2.339835114E2,9.039383267E0,1.269500136E1
6.954255152E1,6.046309350E1,2.693186697E1,1.084156936E1,1.546409380E0,2.297947009E2,9.257439822E0,1.308089850E1
7.054260015E1,6.046308870E1,2.693183640E1,1.097395956E1,1.538567934E0,2.339219697E2,9.472084062E0,1.345378913E1
7.154264450E1,6.046308380E1,2.693180342E1,1.175184366E1,1.547739895E0,2.324319797E2,9.659885535E0,1.353607014E1
7.254268706E1,6.046307966E1,2.693177327E1,1.190695379E1,1.553356211E0,2.328802140E2,9.799901451E0,1.401420265E1
7.354272771E1,6.046307603E1,2.693174251E1,1.178508827E1,1.567773565E0,2.362488097E2,9.877953684E0,1.397418019E1
7.454276562E1,6.046307474E1,2.693170613E1,1.180834315E1,1.572339270E0,2.401197057E2,9.995510290E0,1.418643238E1
7.554280138E1,6.046307195E1,2.693167642E1,1.101332330E1,1.517527918E0,2.396046671E2,9.993179000E0,1.414132109E1
7.654283488E1,6.046306831E1,2.693164687E1,1.048481493E1,1.518761620E0,2.389083967E2,9.966138435E0,1.410873750E1
7.754286635E1,6.046306468E1,2.693161601E1,1.040536851E1,1.531769954E0,2.386321643E2,9.835142703E0,1.402473967E1
7.854289544E1,6.046305893E1,2.693159011E1,1.012283439E1,1.542023012E0,2.334805644E2,9.772359117E0,1.388747234E1
7.954292464E1,6.046305548E1,2.693156104E1,1.011358325E1,1.550752469E0,2.328498134E2,9.792658435E0,1.401834243E1
8.054295063E1,6.046304992E1,2.693153518E1,9.822143777E0,1.548410769E0,2.351397029E2,9.749626624E0,1.382002643E1
8.154297626E1,6.046304262E1,2.693151222E1,9.897749713E0,1.559542589E0,2.339867388E2,9.611679430E0,1.367742593E1
8.254300010E1,6.046303669E1,2.693148849E1,9.742345571E0,1.554159055E0,2.328469223E2,9.639407087E0,1.322274768E1
8.354302180E1,6.046303021E1,2.693146422E1,9.688203494E0,1.544691036E0,2.298069113E2,9.702828690E0,1.310799352E1
8.454304338E1,6.046302346E1,2.693143991E1,9.828221872E0,1.548879202E0,2.274542425E2,9.691151198E0,1.309408519E1
8.554306412E1,6.046301756E1,2.693141410E1,1.007526299E1,1.575045612E0,2.333128697E2,9.781457102E0,1.331691084E1
8.654308236E1,6.046300879E1,2.693139019E1,1.006646841E1,1.587579052E0,2.314937763E2,9.852067591E0,1.303022120E1
